QB_ID,Peer_assessment_of_QBs_school,Week,Incompetence,Athleticism,Competence,Lack_of_athleticism,QB_race,Performance,QB_race_x_Performance,Words_published_per_QB_per_interval,Source_of_phrase,Rushing_yards,Evaluative_phrases_negative,Evaluative_phrases_positive
10011,,1,0,1,0,0,0,1,0,579,1,50,0.00,0.00
10011,,4,0,0,0,0,0,0,0,391,1,5,0.00,1.00
10011,,7,0,1,0,0,0,1,0,437,0,5,0.00,0.00
10011,,10,0,0,0,0,0,0,0,0,0,20,0.00,0.00
10022,2,1,0,0,0,0,1,1,1,0,0,17,0.00,0.00
10022,2,4,0,0,0,2,1,1,1,982,0,3,0.00,0.00
10022,2,7,0,0,0,0,1,,,0,0,-23,0.00,0.00
10022,2,10,0,0,0,0,1,,,0,0,,0.00,0.00
10031,3,1,0,0,0,0,0,1,0,0,0,1,0.00,0.00
10031,3,4,1,1,0,3,0,0,0,1272,0,-21,0.00,0.00
10031,3,7,1,3,7,0,0,1,0,1186,0,3,1.00,7.00
10031,3,10,0,0,0,0,0,,,0,0,-19,0.00,0.00
10041,3,1,0,0,0,0,0,1,0,0,0,-19,0.00,0.00
10041,3,4,0,2,3,0,0,1,0,1011,0,-21,1.00,6.00
10041,3,7,0,0,0,0,0,1,0,0,0,-4,0.00,0.00
10041,3,10,0,0,7,0,0,1,0,1832,0,7,1.00,9.00
10062,3,1,0,0,0,0,0,1,0,0,0,37,0.00,0.00
10062,3,4,0,0,0,0,0,,,0,0,2,0.00,0.00
10062,3,7,0,0,0,0,0,,,0,1,84,0.00,0.00
10062,3,10,0,2,16,0,0,1,0,2663,1,56,0.00,4.00
10071,3,1,0,0,0,0,0,0,0,0,0,-20,0.00,0.00
10071,3,4,0,0,0,0,0,0,0,0,0,-14,0.00,0.00
10071,3,7,0,10,4,0,0,1,0,1701,0,-7,0.00,9.00
10071,3,10,3,2,0,0,0,0,0,1060,0,-6,1.00,1.00
10091,3,1,0,0,0,0,0,1,0,0,0,5,0.00,0.00
10091,3,4,1,2,1,0,0,1,0,1490,0,91,0.00,6.00
10091,3,7,0,1,1,0,0,1,0,1312,0,3,4.00,3.00
10091,3,10,0,0,1,0,0,1,0,686,1,-3,0.00,0.00
10092,3,1,0,0,0,0,1,,,0,0,,0.00,0.00
10101,3,4,0,0,0,0,1,0,0,573,0,,0.00,1.00
10101,3,7,0,0,0,0,1,1,1,563,0,,0.00,1.00
10101,3,10,0,1,0,0,1,0,0,1092,1,0,0.00,2.00
10111,3,1,0,0,0,0,0,0,0,724,0,0,0.00,0.00
10111,3,4,0,0,0,0,0,1,0,0,0,,0.00,0.00
10111,3,7,0,0,0,0,0,0,0,737,0,29,1.00,4.00
10111,3,10,0,0,5,0,0,0,0,632,1,1,0.00,1.00
10121,,1,0,0,0,0,0,1,0,0,0,4,0.00,0.00
10121,,4,0,0,0,0,0,,,0,1,9,0.00,0.00
10121,,7,0,0,0,0,0,1,0,0,0,4,0.00,0.00
10121,,10,0,0,0,1,0,1,0,226,1,,0.00,0.00
10131,4,1,0,0,0,0,0,1,0,0,0,,0.00,0.00
10131,4,4,0,2,0,0,0,1,0,1114,0,,0.00,4.00
10131,4,7,0,5,39,1,0,1,0,2472,0,,0.00,2.00
10131,4,10,2,1,5,0,0,1,0,2844,0,,0.00,1.00
10141,3,1,0,0,1,0,0,1,0,596,0,9,0.00,1.00
10141,3,4,1,2,3,0,0,1,0,735,0,-23,0.00,1.00
10141,3,7,1,0,0,0,0,0,0,630,0,3,2.00,1.00
10141,3,10,0,0,0,0,0,0,0,0,0,-10,0.00,0.00
10151,3,1,0,0,0,0,0,1,0,395,0,26,0.00,1.00
10151,3,4,1,1,1,0,0,1,0,1657,0,49,0.00,2.00
10151,3,7,0,0,1,0,0,1,0,331,0,100,0.00,0.00
10151,3,10,1,2,3,0,0,,,1837,1,75,1.00,4.00
10161,3,1,0,0,0,0,0,0,0,0,0,6,0.00,0.00
10161,3,4,0,0,0,1,0,0,0,430,1,3,1.00,0.00
10161,3,7,0,1,3,0,0,1,0,1208,0,,0.00,2.00
10161,3,10,0,0,0,0,0,1,0,0,0,12,0.00,0.00
10172,5,1,0,0,0,0,0,,,0,0,56,0.00,0.00
10172,5,4,0,0,0,0,0,,,0,0,19,0.00,0.00
10172,5,7,1,0,0,0,0,0,0,2082,0,33,0.00,4.00
10172,5,10,0,0,0,0,0,,,0,0,-5,0.00,0.00
10181,2,1,1,0,0,0,0,0,0,343,0,,0.00,0.00
10181,2,4,0,0,0,0,0,0,0,0,0,7,0.00,0.00
10181,2,7,0,0,0,0,0,1,0,0,0,5,0.00,0.00
10181,2,10,0,0,2,0,0,1,0,1447,0,-1,0.00,0.00
10191,3,1,0,0,2,0,0,1,0,443,0,3,0.00,0.00
10191,3,4,0,0,0,0,0,1,0,234,0,,0.00,1.00
10191,3,7,0,0,0,0,0,0,0,356,0,,0.00,0.00
10191,3,10,0,0,0,0,0,,,0,0,0,0.00,0.00
10201,3,1,0,0,0,0,0,1,0,0,0,0,0.00,0.00
10201,3,4,0,0,0,0,0,1,0,977,0,0,0.00,2.00
10201,3,7,0,0,0,0,0,,,0,0,55,0.00,0.00
10201,3,10,0,0,0,0,0,1,0,0,0,52,0.00,0.00
10211,4,1,0,0,0,0,0,1,0,0,0,,0.00,0.00
10211,4,4,0,0,0,0,0,1,0,573,0,,0.00,1.00
10211,4,7,0,0,0,0,0,0,0,266,1,35,2.00,0.00
10211,4,10,1,0,0,1,0,1,0,701,0,-6,0.00,0.00
10231,3,1,0,0,0,0,0,1,0,0,0,-18,0.00,0.00
10231,3,4,1,3,3,0,0,1,0,1927,0,-12,0.00,6.00
10231,3,7,0,0,1,0,0,0,0,549,0,,0.00,0.00
10231,3,10,0,0,0,0,0,1,0,0,0,0,0.00,0.00
10241,4,1,0,0,0,0,1,0,0,0,0,38,0.00,0.00
10241,4,4,0,1,5,0,1,0,0,1210,1,166,0.00,1.00
10241,4,7,0,0,0,0,1,0,0,434,1,,0.00,1.00
10241,4,10,0,0,0,0,1,0,0,0,0,-15,0.00,0.00
10252,2,1,0,0,0,0,0,,,0,0,38,0.00,0.00
10252,2,4,0,0,0,0,0,0,0,0,0,,0.00,0.00
10252,2,7,1,2,11,0,0,1,0,1173,0,-3,0.00,3.00
10252,2,10,0,0,0,0,0,1,0,0,0,-14,0.00,0.00
10262,,1,0,0,0,0,0,,,0,0,23,0.00,0.00
10262,,4,0,0,0,0,0,,,0,0,,0.00,0.00
10262,,7,1,2,3,0,0,0,0,554,1,-1,0.00,1.00
10262,,10,0,0,1,0,0,1,0,846,0,,0.00,0.00
10271,2,1,0,0,1,0,0,1,0,321,0,22,0.00,0.00
10271,2,4,0,0,0,0,0,1,0,594,1,,1.00,1.00
10271,2,7,0,0,0,0,0,,,0,0,,0.00,0.00
10271,2,10,0,0,0,0,0,0,0,0,0,,0.00,0.00
10281,4,1,0,0,0,0,0,1,0,834,0,47,0.00,0.00
10281,4,4,0,6,2,0,0,1,0,1939,1,57,0.00,4.00
10281,4,7,3,9,10,0,0,,,3470,0,30,1.00,7.00
10281,4,10,0,0,0,0,0,0,0,0,0,72,0.00,0.00
10291,2,1,0,0,0,0,1,0,0,0,0,39,0.00,0.00
10291,2,4,0,0,1,0,1,0,0,426,0,-7,0.00,0.00
10291,2,7,0,0,0,0,1,,,0,0,-10,0.00,0.00
10291,2,10,0,7,0,0,1,0,0,3350,0,5,0.00,0.00
10302,3,1,0,0,0,0,1,,,0,0,-12,0.00,0.00
10302,3,4,0,0,0,0,1,,,0,0,11,0.00,0.00
10302,3,7,24,6,1,5,1,0,0,2420,0,2,3.00,0.00
10302,3,10,11,3,0,0,1,,,660,0,-2,1.00,1.00
10311,,1,0,0,0,0,0,1,0,0,0,8,0.00,0.00
10311,,4,0,0,0,0,0,,,0,0,47,0.00,0.00
10311,,7,0,0,0,0,0,1,0,1182,0,14,1.00,0.00
10311,,10,0,0,0,0,0,0,0,0,0,-22,0.00,0.00
10321,3,1,0,0,0,0,0,1,0,660,0,75,0.00,1.00
10321,3,4,0,2,1,0,0,1,0,1840,0,65,0.00,2.00
10321,3,7,1,0,6,1,0,1,0,731,0,-7,0.00,4.00
10321,3,10,0,0,0,0,0,1,0,0,0,,0.00,0.00
10331,4,1,0,0,0,1,0,1,0,828,0,17,0.00,2.00
10331,4,4,0,0,0,0,0,0,0,0,0,,0.00,0.00
10331,4,7,0,1,0,1,0,1,0,644,0,54,0.00,0.00
10331,4,10,1,0,0,0,0,,,1800,0,5,2.00,0.00
10342,3,1,0,0,0,0,0,1,0,0,0,1,0.00,0.00
10342,3,4,0,1,4,0,0,,,1504,0,-6,7.00,6.00
10342,3,7,0,0,0,0,0,,,594,1,-12,0.00,0.00
10342,3,10,0,0,0,0,0,,,0,0,-23,0.00,0.00
10351,3,1,0,0,0,0,0,0,0,0,1,42,0.00,0.00
10351,3,4,0,1,1,0,0,1,0,1121,0,6,0.00,4.00
10351,3,7,0,0,1,0,0,1,0,778,1,53,0.00,0.00
10351,3,10,1,8,5,0,0,1,0,1628,0,,0.00,2.00
10361,3,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00
10361,3,4,0,0,0,0,0,0,0,0,1,0,0.00,0.00
10361,3,7,0,0,0,0,0,,,0,1,15,0.00,0.00
10361,3,10,0,1,0,0,0,0,0,963,0,,0.00,0.00
10371,4,1,0,0,0,0,1,,,0,0,4,0.00,0.00
10371,4,4,0,2,0,0,1,,,1485,0,19,1.00,0.00
10371,4,7,1,1,2,0,1,,,661,1,,0.00,1.00
10371,4,10,0,2,0,0,1,,,0,0,9,1.00,0.00
10381,4,1,0,0,0,0,1,1,1,0,0,,0.00,0.00
10381,4,4,3,1,0,0,1,0,0,1169,0,8,0.00,0.00
10381,4,7,0,2,1,0,1,0,0,2356,0,-7,1.00,2.00
10381,4,10,0,0,0,0,1,0,0,715,0,-20,1.00,0.00
10391,4,1,0,0,0,0,0,1,0,0,0,-1,0.00,0.00
10391,4,4,0,0,0,0,0,0,0,0,1,-7,0.00,0.00
10391,4,7,0,0,0,0,0,1,0,1261,0,-9,1.00,0.00
10391,4,10,0,0,0,0,0,1,0,0,0,9,0.00,0.00
10401,3,1,1,0,0,0,1,0,0,649,0,-1,0.00,0.00
10401,3,4,0,0,0,0,1,0,0,0,0,,0.00,0.00
10401,3,7,0,0,0,0,1,0,0,0,0,-8,0.00,0.00
10401,3,10,0,0,0,0,1,0,0,850,0,,0.00,0.00
10411,3,1,0,0,0,0,0,1,0,0,0,,0.00,0.00
10411,3,4,0,0,0,0,0,1,0,1267,1,7,0.00,2.00
10411,3,7,0,0,0,0,0,1,0,0,0,1,0.00,0.00
10411,3,10,0,0,3,2,0,1,0,1193,1,-6,0.00,4.00
10432,3,1,0,0,0,0,1,,,0,0,72,0.00,0.00
10432,3,4,0,0,0,0,1,,,0,1,63,0.00,0.00
10432,3,7,0,0,0,0,1,,,0,0,89,0.00,0.00
10432,3,10,0,0,3,0,1,0,0,953,0,29,0.00,7.00
10441,3,1,0,0,0,0,1,1,1,0,0,-7,0.00,0.00
10441,3,4,0,0,0,0,1,1,1,959,0,4,0.00,1.00
10441,3,7,1,2,2,0,1,1,1,2081,1,-11,0.00,2.00
10441,3,10,0,0,0,2,1,0,0,524,0,-8,1.00,0.00
10452,2,1,0,0,0,0,1,1,1,0,0,-6,0.00,0.00
10452,2,4,0,0,0,0,1,,,0,1,33,0.00,0.00
10452,2,7,0,2,6,1,1,1,1,319,0,11,0.00,2.00
10452,2,10,0,0,0,0,1,,,0,0,3,0.00,0.00
10461,2,1,0,0,1,0,0,0,0,463,0,,0.00,0.00
10461,2,4,0,0,0,0,0,0,0,0,1,10,0.00,0.00
10461,2,7,0,2,0,0,0,0,0,1751,0,,0.00,0.00
10461,2,10,0,0,0,0,0,,,0,0,,0.00,0.00
10481,3,1,0,0,2,0,0,1,0,441,0,-6,0.00,0.00
10481,3,4,0,0,4,0,0,0,0,3544,0,7,0.00,2.00
10481,3,7,2,3,7,0,0,1,0,854,0,-1,0.00,1.00
10481,3,10,0,0,1,0,0,1,0,793,0,11,0.00,0.00
10491,3,1,0,1,0,0,0,1,0,755,0,102,0.00,1.00
10491,3,4,0,1,1,1,0,1,0,1100,0,59,1.00,0.00
10491,3,7,0,4,17,0,0,0,0,1940,0,122,0.00,0.00
10491,3,10,0,2,2,0,0,,,711,1,72,1.00,1.00
10501,,1,0,1,0,0,1,0,0,724,0,0,0.00,0.00
10501,,4,0,2,3,0,1,0,0,661,0,-15,0.00,3.00
10501,,7,0,0,0,0,1,0,0,0,0,-17,0.00,0.00
10501,,10,0,18,8,0,1,1,1,2059,0,-18,0.00,1.00
10511,4,1,0,0,1,0,1,1,1,455,0,15,0.00,2.00
10511,4,4,6,0,0,1,1,0,0,2203,0,,0.00,0.00
10511,4,7,0,0,0,0,1,,0,0,0,,0.00,0.00
10511,4,10,0,0,3,0,1,,0,704,1,12,0.00,0.00
10521,2,1,0,0,0,0,0,0,0,0,0,29,0.00,0.00
10521,2,4,0,0,0,0,0,0,0,0,0,,0.00,0.00
10521,2,7,0,0,1,0,0,,0,741,0,,0.00,1.00
10521,2,10,0,4,5,0,0,1,0,2682,0,,2.00,1.00
10531,3,1,0,0,0,0,1,1,1,724,0,-24,0.00,0.00
10531,3,4,0,0,0,0,1,,0,0,0,-13,0.00,0.00
10531,3,7,0,0,0,0,1,0,0,0,0,,0.00,0.00
10531,3,10,0,0,5,0,1,,0,1163,0,-26,0.00,7.00
10542,3,1,0,0,0,0,0,,0,0,0,-19,0.00,0.00
10542,3,4,0,3,0,0,0,0,0,986,0,31,0.00,0.00
10542,3,7,0,0,1,0,0,1,0,601,0,,0.00,0.00
10542,3,10,0,0,0,0,0,0,0,0,1,,0.00,0.00
10551,3,1,0,0,0,0,0,1,0,0,0,7,0.00,0.00
10551,3,4,0,1,7,0,0,1,0,765,1,,0.00,0.00
10551,3,7,0,0,0,0,0,1,0,0,0,66,0.00,0.00
10551,3,10,0,0,0,0,0,0,0,1209,0,-5,0.00,2.00
10562,4,1,0,0,0,0,0,,0,0,0,-13,0.00,0.00
10562,4,4,1,1,4,0,0,1,0,3113,0,-39,0.00,2.00
10562,4,7,0,0,0,0,0,1,0,0,0,21,0.00,0.00
10562,4,10,0,0,1,0,0,1,0,435,0,-18,0.00,0.00
10572,,1,0,0,0,0,1,0,0,0,0,-58,0.00,0.00
10572,,4,0,2,4,0,1,0,0,816,0,-2,0.00,3.00
10572,,7,0,13,5,0,1,1,1,1906,1,0,0.00,6.00
10572,,10,0,7,2,0,1,1,1,1488,0,,0.00,0.00
10581,4,1,0,0,0,0,0,0,0,596,0,16,1.00,0.00
10581,4,4,0,0,0,0,0,0,0,664,0,-33,2.00,1.00
10581,4,7,0,0,0,0,0,0,0,0,1,1,0.00,0.00
10581,4,10,1,2,6,0,0,0,0,1063,0,,3.00,0.00
10592,3,1,0,0,0,0,1,,0,0,0,10,0.00,0.00
10592,3,4,0,0,0,0,1,,0,0,1,7,0.00,0.00
10592,3,7,0,0,0,0,1,,0,0,0,2,0.00,0.00
10592,3,10,1,2,0,0,1,0,0,600,0,,0.00,1.00
10602,2,1,0,0,0,0,0,0,0,0,0,-8,0.00,0.00
10602,2,4,0,0,1,1,0,1,0,825,0,8,0.00,3.00
10602,2,7,1,0,0,0,0,0,0,663,0,2,0.00,0.00
10602,2,10,0,0,2,0,0,1,0,689,0,-43,0.00,0.00
10611,3,1,0,1,0,0,0,1,0,869,0,-9,0.00,0.00
10611,3,4,0,0,0,0,0,1,0,0,0,,0.00,0.00
10611,3,7,0,3,0,0,0,0,0,1462,0,,0.00,0.00
10611,3,10,0,1,1,0,0,1,0,1987,0,,0.00,0.00
