QB_ID,Peer_assessment_of_QBs_school,Week,Incompetence,Athleticism,Competence,Lack_of_athleticism,QB_race,Performance,QB_race_x_Performance,Words_published_per_QB_per_interval,Source_of_phrase,Rushing_yards,Evaluative_phrases_negative,Evaluative_phrases_positive
10631,3,1,0,0,1,0,0,1,0,753,0,3,0.00,0.00
10631,3,4,3,2,8,0,0,1,0,2179,0,20,0.00,6.00
10631,3,7,1,0,0,0,0,0,0,755,0,-2,0.00,0.00
10631,3,10,4,0,4,0,0,0,0,739,0,7,0.00,0.00
10642,2,1,0,0,0,0,1,0,0,0,0,,0.00,0.00
10642,2,4,0,0,0,0,1,,0,0,0,33,0.00,0.00
10642,2,7,0,0,3,0,1,0,0,1185,1,24,0.00,1.00
10642,2,10,0,1,1,0,1,1,1,524,0,,0.00,0.00
10651,3,1,8,2,10,0,1,0,0,478,0,19,0.00,1.00
10651,3,4,0,0,0,0,1,1,1,0,0,14,0.00,0.00
10651,3,7,0,0,0,0,1,1,1,1139,0,3,0.00,2.00
10651,3,10,0,0,0,0,1,1,1,700,0,,1.00,0.00
10662,2,1,0,0,0,0,0,1,0,0,0,14,0.00,0.00
10662,2,4,0,0,0,0,0,0,0,0,0,-7,0.00,0.00
10662,2,7,0,0,9,0,0,0,0,749,0,-13,1.00,3.00
10662,2,10,0,0,0,0,0,,0,0,0,-16,0.00,0.00
10671,3,1,0,0,0,0,0,0,0,0,0,22,0.00,0.00
10671,3,4,0,1,0,0,0,0,0,681,0,35,0.00,0.00
10671,3,7,0,0,0,0,0,,0,0,0,100,0.00,0.00
10671,3,10,0,0,0,0,0,1,0,0,0,146,0.00,0.00
10681,4,1,0,0,0,0,0,1,0,697,0,-6,0.00,0.00
10681,4,4,0,2,3,0,0,0,0,884,0,,2.00,1.00
10681,4,7,0,0,0,0,0,0,0,0,0,7,0.00,0.00
10681,4,10,0,0,0,0,0,0,0,0,1,6,0.00,0.00
10692,2,1,0,0,0,0,0,0,0,0,0,,0.00,0.00
10692,2,4,0,0,0,0,0,,0,125,0,,0.00,1.00
10692,2,7,0,0,0,0,0,1,0,0,0,27,0.00,0.00
10692,2,10,0,5,10,1,0,0,0,1172,0,-38,0.00,0.00
10701,2,1,0,0,0,0,0,0,0,0,0,-17,0.00,0.00
10701,2,4,0,0,0,0,0,1,0,0,1,-2,0.00,0.00
10701,2,7,0,0,0,0,0,,0,0,0,-6,0.00,0.00
10701,2,10,0,0,0,0,0,0,0,667,0,,1.00,0.00
10711,4,1,0,0,0,0,0,1,0,0,0,7,0.00,0.00
10711,4,4,0,0,0,0,0,0,0,0,0,0,0.00,0.00
10711,4,7,0,0,2,0,0,1,0,2022,0,-26,0.00,3.00
10711,4,10,1,0,0,1,0,0,0,647,0,,0.00,1.00
10723,4,1,0,0,0,0,0,0,0,0,0,-5,0.00,0.00
10723,4,4,0,0,0,0,0,0,0,0,0,0,0.00,0.00
10723,4,7,1,0,9,0,0,0,0,967,0,0,0.00,4.00
10723,4,10,0,0,0,0,0,,0,0,0,-9,0.00,0.00
10732,3,1,0,0,0,0,1,1,1,0,0,11,0.00,0.00
10732,3,4,0,0,0,0,1,0,0,0,0,4,0.00,0.00
10732,3,7,0,0,0,0,1,1,1,0,0,50,0.00,0.00
10732,3,10,0,8,3,0,1,1,1,1310,0,55,0.00,0.00
10741,4,1,0,1,0,0,0,1,0,697,0,1,0.00,0.00
10741,4,4,3,0,16,1,0,1,0,562,0,-3,0.00,3.00
10741,4,7,0,0,1,0,0,1,0,668,0,-6,0.00,0.00
10741,4,10,1,1,20,0,0,1,0,1255,1,0,0.00,6.00
10751,3,1,0,2,1,0,0,1,0,814,0,0,0.00,1.00
10751,3,4,2,3,9,0,0,1,0,2321,0,0,1.00,11.00
10751,3,7,0,0,0,0,0,1,0,1814,0,19,0.00,2.00
10751,3,10,0,0,2,0,0,,0,816,0,4,0.00,0.00
10761,3,1,3,5,9,0,1,0,0,743,0,,0.00,4.00
10761,3,4,4,0,0,0,1,,0,958,1,0,0.00,0.00
10761,3,7,0,0,0,0,1,,0,0,0,15,0.00,0.00
10761,3,10,0,0,0,0,1,,0,0,1,36,0.00,0.00
10771,3,1,0,1,0,0,1,1,1,503,0,0,0.00,0.00
10771,3,4,0,2,0,0,1,1,1,1649,1,-20,0.00,1.00
10771,3,7,0,4,0,0,1,1,1,1863,1,7,0.00,0.00
10771,3,10,0,26,6,2,1,1,1,3947,0,27,0.00,4.00
10781,3,1,0,0,0,0,0,1,0,0,0,-30,0.00,0.00
10781,3,4,1,0,0,0,0,0,0,854,0,,1.00,0.00
10781,3,7,6,0,4,0,0,1,0,1828,0,22,0.00,9.00
10781,3,10,0,0,0,0,0,1,0,0,0,24,0.00,0.00
10791,4,1,0,1,1,0,0,1,0,1500,0,10,0.00,0.00
10791,4,4,4,0,1,2,0,0,0,3156,1,-4,9.00,0.00
10791,4,7,2,1,0,0,0,1,0,1698,0,-26,1.00,3.00
10791,4,10,2,0,0,0,0,0,0,1157,1,42,1.00,0.00
10803,3,1,0,0,3,0,0,,0,805,0,,0.00,2.00
10803,3,4,0,0,1,0,0,0,0,2556,1,,0.00,6.00
10803,3,7,2,1,13,2,0,0,0,1822,0,,0.00,4.00
10803,3,10,0,0,0,0,0,0,0,0,0,,0.00,0.00
10811,4,1,1,0,0,0,0,1,0,417,0,2,0.00,0.00
10811,4,4,0,0,0,0,0,1,0,540,0,-4,0.00,0.00
10811,4,7,0,2,0,1,0,0,0,535,0,,0.00,0.00
10811,4,10,0,0,0,0,0,1,0,0,0,,0.00,0.00
10821,4,1,0,0,0,0,0,0,0,0,0,,0.00,0.00
10821,4,4,3,2,2,4,0,0,0,812,0,0,2.00,4.00
10821,4,7,0,0,0,0,0,0,0,0,1,5,0.00,0.00
10821,4,10,0,0,0,0,0,0,0,0,0,6,0.00,0.00
10831,3,1,0,1,0,0,0,1,0,779,0,,0.00,0.00
10831,3,4,0,0,0,0,0,,0,0,0,,0.00,0.00
10831,3,7,0,0,0,0,0,1,0,736,0,,0.00,0.00
10831,3,10,0,0,0,0,0,0,0,0,0,33,0.00,0.00
10841,3,1,0,2,15,0,0,,0,861,0,-2,0.00,1.00
10841,3,4,0,0,0,0,0,1,0,766,0,2,0.00,0.00
10841,3,7,0,1,0,0,0,0,0,431,0,,0.00,1.00
10841,3,10,0,0,0,0,0,,0,0,0,,0.00,0.00
10851,,1,0,0,0,0,0,0,0,0,0,44,0.00,0.00
10851,,4,0,2,0,0,0,1,0,2245,0,,0.00,2.00
10851,,7,0,0,0,0,0,0,0,0,0,46,0.00,0.00
10851,,10,0,0,0,0,0,,0,0,0,47,0.00,0.00
10861,3,1,0,0,0,0,0,,0,0,0,0,0.00,0.00
10861,3,4,1,0,0,0,0,0,0,405,0,-20,1.00,0.00
10861,3,7,0,0,0,0,0,,0,0,0,,0.00,0.00
10861,3,10,0,3,1,1,0,0,0,807,0,-20,1.00,2.00
10871,3,1,0,0,0,0,0,1,0,0,0,-8,0.00,0.00
10871,3,4,0,14,13,1,0,1,0,2015,0,15,0.00,10.00
10871,3,7,6,14,5,0,0,1,0,4828,0,0,0.00,4.00
10871,3,10,0,0,4,0,0,0,0,1574,0,-8,0.00,0.00
10881,3,1,0,0,0,0,1,0,0,0,0,83,0.00,0.00
10881,3,4,0,1,5,0,1,0,0,491,1,92,0.00,1.00
10881,3,7,0,0,0,0,1,0,0,0,0,48,0.00,0.00
10881,3,10,0,0,0,0,1,0,0,0,0,157,0.00,0.00
10892,2,1,0,0,0,0,0,1,0,0,0,3,0.00,0.00
10892,2,4,0,0,0,0,0,,0,0,0,16,0.00,0.00
10892,2,7,0,0,0,0,0,1,0,511,0,-20,0.00,2.00
10892,2,10,1,1,2,0,0,0,0,556,1,-7,0.00,0.00
10901,5,1,0,1,22,0,0,0,0,1536,0,9,0.00,1.00
10901,5,4,0,0,0,0,0,0,0,0,1,11,0.00,0.00
10901,5,7,0,0,0,0,0,0,0,0,0,12,0.00,0.00
10901,5,10,0,0,0,0,0,,0,0,0,46,0.00,0.00
10911,3,1,0,0,0,0,0,0,0,0,0,13,0.00,0.00
10911,3,4,0,2,1,1,0,1,0,1560,0,,0.00,7.00
10911,3,7,0,0,1,0,0,0,0,939,0,3,0.00,0.00
10911,3,10,0,0,0,0,0,,0,0,1,,0.00,0.00
10922,3,1,0,0,0,0,1,1,1,0,0,,0.00,0.00
10922,3,4,0,2,0,0,1,1,1,302,1,20,1.00,1.00
10922,3,7,0,0,0,0,1,,0,0,0,1,0.00,0.00
10922,3,10,0,0,0,0,1,,0,0,0,5,0.00,0.00
10931,3,1,0,0,0,0,0,0,0,0,0,8,0.00,0.00
10931,3,4,0,0,0,0,0,0,0,908,0,57,0.00,1.00
10931,3,7,0,0,1,0,0,1,0,1509,0,5,0.00,2.00
10931,3,10,0,2,3,0,0,,0,499,1,64,0.00,0.00
10941,3,1,0,0,4,0,0,0,0,1060,0,,0.00,2.00
10941,3,4,3,2,5,1,0,1,0,1100,1,,2.00,13.00
10941,3,7,0,0,0,0,0,1,0,0,0,7,0.00,0.00
10941,3,10,0,0,0,1,0,1,0,608,0,,0.00,0.00
10951,4,1,0,1,3,0,0,1,0,1522,0,-38,0.00,1.00
10951,4,4,0,0,0,0,0,0,0,653,1,9,0.00,0.00
10951,4,7,1,3,1,9,0,0,0,1462,0,-17,0.00,1.00
10951,4,10,0,0,1,0,0,0,0,814,0,18,0.00,0.00
10961,4,1,2,0,0,1,0,1,0,755,0,-15,0.00,0.00
10961,4,4,0,1,10,0,0,1,0,825,1,58,4.00,1.00
10961,4,7,0,2,2,0,0,1,0,1682,0,,0.00,3.00
10961,4,10,0,1,0,0,0,1,0,850,0,124,0.00,0.00
10971,3,1,0,0,0,0,0,1,0,0,0,,0.00,0.00
10971,3,4,0,0,0,0,0,0,0,1300,0,,0.00,2.00
10971,3,7,0,0,0,0,0,1,0,0,1,9,0.00,0.00
10971,3,10,2,1,0,0,0,0,0,1578,0,,0.00,1.00
10981,2,1,0,0,0,0,0,0,0,0,0,,0.00,0.00
10981,2,4,0,0,0,2,0,1,0,647,0,,2.00,0.00
10981,2,7,0,0,0,0,0,,0,0,1,,0.00,0.00
10981,2,10,0,1,0,0,0,1,0,667,0,,0.00,0.00
10991,,1,0,0,0,0,1,0,0,0,0,59,0.00,0.00
10991,,4,0,2,0,0,1,1,1,931,0,35,0.00,1.00
10991,,7,0,0,0,0,1,,0,0,0,23,0.00,0.00
10991,,10,0,11,1,0,1,1,1,655,0,59,0.00,0.00
11002,,1,0,0,0,0,0,,0,0,0,24,0.00,0.00
11002,,4,0,7,0,0,0,1,0,577,0,41,0.00,1.00
11002,,7,1,1,3,3,0,0,0,590,0,-5,0.00,0.00
11002,,10,0,0,2,0,0,0,0,967,0,-27,0.00,0.00
11011,3,1,0,0,1,0,0,1,0,813,0,-12,0.00,1.00
11011,3,4,0,3,1,0,0,0,0,930,1,-23,0.00,5.00
11011,3,7,0,4,2,0,0,1,0,787,0,16,0.00,2.00
11011,3,10,1,3,3,0,0,1,0,1359,0,0,0.00,2.00
11021,3,1,0,0,0,0,0,0,0,0,0,2,0.00,0.00
11021,3,4,0,3,0,1,0,,0,1114,0,,0.00,0.00
11021,3,7,0,0,1,0,0,1,0,275,1,-4,0.00,0.00
11021,3,10,1,1,0,0,0,0,0,522,0,,0.00,0.00
11031,2,1,0,0,0,0,0,1,0,0,0,12,0.00,0.00
11031,2,4,0,0,5,1,0,1,0,948,0,59,0.00,3.00
11031,2,7,0,0,0,0,0,0,0,0,0,15,0.00,0.00
11031,2,10,0,1,4,0,0,1,0,1294,0,,0.00,3.00
11042,4,1,0,0,0,0,0,,0,0,0,15,0.00,0.00
11042,4,4,1,0,7,0,0,1,0,1593,1,53,0.00,1.00
11042,4,7,0,0,6,0,0,,0,1620,1,180,0.00,0.00
11042,4,10,0,1,0,0,0,0,0,693,0,24,0.00,0.00
11051,2,1,4,1,7,0,1,1,1,428,0,0,0.00,2.00
11051,2,4,0,0,0,0,1,1,1,0,0,,0.00,0.00
11051,2,7,0,0,0,0,1,0,0,599,1,177,0.00,0.00
11051,2,10,0,0,0,0,1,0,0,0,1,21,0.00,0.00
11061,4,1,0,0,0,0,0,1,0,0,0,28,0.00,0.00
11061,4,4,1,0,4,0,0,1,0,2902,1,,0.00,4.00
11061,4,7,0,2,0,0,0,,0,1244,0,,0.00,0.00
11061,4,10,0,0,11,1,0,,0,1907,0,,0.00,3.00
11072,3,1,0,0,0,0,0,,0,0,0,0,0.00,0.00
11072,3,4,0,0,0,0,0,,0,0,0,30,0.00,0.00
11072,3,7,0,0,0,0,0,,0,0,0,,0.00,0.00
11072,3,10,0,0,1,0,0,0,0,301,0,,0.00,0.00
11081,3,1,0,0,0,0,1,0,0,0,1,-21,0.00,0.00
11081,3,4,2,0,1,1,1,0,0,1099,0,,0.00,2.00
11081,3,7,0,0,0,0,1,1,1,0,0,,0.00,0.00
11081,3,10,0,1,2,0,1,1,1,700,0,,0.00,0.00
11091,2,1,0,0,0,0,1,1,1,0,0,0,0.00,0.00
11091,2,4,0,0,0,0,1,1,1,0,0,,0.00,0.00
11091,2,7,0,6,28,5,1,0,0,1022,0,21,0.00,1.00
11091,2,10,0,6,2,0,1,0,0,441,0,0,0.00,2.00
11101,4,1,0,0,0,0,1,1,1,0,0,40,0.00,0.00
11101,4,4,0,1,10,0,1,,0,462,0,42,0.00,1.00
11101,4,7,0,0,0,0,1,0,0,522,0,85,1.00,1.00
11101,4,10,0,0,4,0,1,1,1,439,0,44,0.00,2.00
11111,4,1,0,0,0,0,1,0,0,0,0,17,0.00,0.00
11111,4,4,0,2,2,1,1,1,1,1672,1,40,1.00,2.00
11111,4,7,0,2,0,1,1,1,1,1347,0,,3.00,1.00
11111,4,10,3,1,1,1,1,0,0,2138,0,,0.00,1.00
11122,3,1,0,0,0,0,1,,0,0,0,129,0.00,0.00
11122,3,4,0,11,11,0,1,1,1,1414,0,1,0.00,3.00
11122,3,7,3,0,0,0,1,1,1,648,0,28,0.00,0.00
11122,3,10,0,1,0,0,1,,0,1918,0,9,1.00,0.00
11131,4,1,0,0,0,0,0,0,0,0,0,,0.00,0.00
11131,4,4,0,1,5,0,0,1,0,1465,0,3,1.00,0.00
11131,4,7,1,1,3,0,0,1,0,1043,0,17,0.00,1.00
11131,4,10,0,0,3,0,0,1,0,1021,0,-6,0.00,0.00
11141,4,1,1,0,4,0,0,1,0,1538,0,-9,0.00,4.00
11141,4,4,1,1,8,0,0,0,0,2196,0,-27,2.00,3.00
11141,4,7,0,2,0,0,0,0,0,1089,0,3,1.00,0.00
11141,4,10,0,3,8,0,0,0,0,1524,0,-4,0.00,5.00
11151,3,1,0,4,0,0,0,0,0,617,0,-4,0.00,1.00
11151,3,4,0,0,0,0,0,0,0,714,0,0,0.00,0.00
11151,3,7,1,0,0,0,0,0,0,715,1,-34,2.00,0.00
11151,3,10,0,0,0,0,0,1,0,0,0,0,0.00,0.00
11161,3,1,0,8,0,0,1,1,1,649,0,15,0.00,2.00
11161,3,4,0,19,13,1,1,1,1,3779,0,,1.00,15.00
11161,3,7,0,5,1,0,1,,0,1372,1,10,0.00,1.00
11161,3,10,0,10,3,0,1,1,1,1768,0,42,0.00,5.00
11172,2,1,0,0,0,0,0,0,0,649,0,,0.00,0.00
11172,2,4,0,0,1,4,0,1,0,1364,1,52,1.00,0.00
11172,2,7,0,2,1,1,0,1,0,1504,0,15,0.00,1.00
11172,2,10,1,0,0,0,0,0,0,846,0,,0.00,0.00
11181,4,1,0,0,3,0,0,1,0,759,1,97,0.00,2.00
11181,4,4,0,1,8,1,0,1,0,1661,0,42,0.00,0.00
11181,4,7,0,0,0,0,0,0,0,0,0,,0.00,0.00
11181,4,10,0,0,0,0,0,1,0,715,0,156,1.00,0.00
11192,4,1,0,0,0,0,0,1,0,0,0,41,0.00,0.00
11192,4,4,0,0,0,0,0,1,0,0,0,82,0.00,0.00
11192,4,7,0,0,0,0,0,0,0,1139,0,,0.00,1.00
11192,4,10,1,0,0,0,0,1,0,1209,0,,1.00,0.00
